eval_id,employee_id,departement,annee,score,mention,recommande_promotion
1,EMP0001,Juridique & Conformité,2026,5,Excellent,1
2,EMP0001,Juridique & Conformité,2025,4,Bien,1
3,EMP0002,Juridique & Conformité,2026,3,Satisfaisant,0
4,EMP0002,Juridique & Conformité,2025,4,Bien,1
5,EMP0003,Juridique & Conformité,2026,3,Satisfaisant,0
6,EMP0003,Juridique & Conformité,2025,4,Bien,1
7,EMP0004,Commercial,2026,5,Excellent,1
8,EMP0004,Commercial,2025,3,Satisfaisant,0
9,EMP0005,IT & Systèmes,2026,3,Satisfaisant,0
10,EMP0005,IT & Systèmes,2025,3,Satisfaisant,0
11,EMP0006,Commercial,2026,3,Satisfaisant,0
12,EMP0006,Commercial,2025,2,À améliorer,0
13,EMP0007,Direction Générale,2026,4,Bien,1
14,EMP0007,Direction Générale,2025,4,Bien,1
15,EMP0008,Commercial,2026,3,Satisfaisant,0
16,EMP0008,Commercial,2025,5,Excellent,1
17,EMP0009,Ressources Humaines,2026,4,Bien,1
18,EMP0009,Ressources Humaines,2025,3,Satisfaisant,0
19,EMP0010,IT & Systèmes,2026,3,Satisfaisant,0
20,EMP0010,IT & Systèmes,2025,3,Satisfaisant,0
21,EMP0011,IT & Systèmes,2026,3,Satisfaisant,0
22,EMP0011,IT & Systèmes,2025,3,Satisfaisant,0
23,EMP0012,Direction Générale,2026,4,Bien,1
24,EMP0012,Direction Générale,2025,3,Satisfaisant,0
25,EMP0013,Marketing,2026,1,Insuffisant,0
26,EMP0013,Marketing,2025,3,Satisfaisant,0
27,EMP0014,Ressources Humaines,2026,5,Excellent,1
28,EMP0014,Ressources Humaines,2025,4,Bien,1
29,EMP0015,Finance & Comptabilité,2026,3,Satisfaisant,0
30,EMP0015,Finance & Comptabilité,2025,3,Satisfaisant,0
31,EMP0016,Commercial,2026,4,Bien,1
32,EMP0016,Commercial,2025,2,À améliorer,0
33,EMP0017,Logistique,2026,3,Satisfaisant,0
34,EMP0017,Logistique,2025,4,Bien,1
35,EMP0018,Commercial,2026,4,Bien,1
36,EMP0018,Commercial,2025,3,Satisfaisant,0
37,EMP0019,Juridique & Conformité,2026,4,Bien,1
38,EMP0019,Juridique & Conformité,2025,3,Satisfaisant,0
39,EMP0020,Commercial,2026,1,Insuffisant,0
40,EMP0020,Commercial,2025,3,Satisfaisant,0
41,EMP0021,Finance & Comptabilité,2026,5,Excellent,1
42,EMP0021,Finance & Comptabilité,2025,3,Satisfaisant,0
43,EMP0022,Commercial,2026,3,Satisfaisant,0
44,EMP0022,Commercial,2025,3,Satisfaisant,0
45,EMP0023,Ressources Humaines,2026,2,À améliorer,0
46,EMP0023,Ressources Humaines,2025,4,Bien,1
47,EMP0024,Ressources Humaines,2026,3,Satisfaisant,0
48,EMP0024,Ressources Humaines,2025,3,Satisfaisant,0
49,EMP0025,IT & Systèmes,2026,4,Bien,1
50,EMP0025,IT & Systèmes,2025,2,À améliorer,0
51,EMP0026,Direction Générale,2026,5,Excellent,1
52,EMP0026,Direction Générale,2025,3,Satisfaisant,0
53,EMP0027,Marketing,2026,2,À améliorer,0
54,EMP0027,Marketing,2025,2,À améliorer,0
55,EMP0028,Logistique,2026,4,Bien,1
56,EMP0028,Logistique,2025,3,Satisfaisant,0
57,EMP0029,Juridique & Conformité,2026,4,Bien,1
58,EMP0029,Juridique & Conformité,2025,4,Bien,1
59,EMP0030,Commercial,2026,5,Excellent,1
60,EMP0030,Commercial,2025,2,À améliorer,0
61,EMP0031,Commercial,2026,4,Bien,1
62,EMP0031,Commercial,2025,4,Bien,1
63,EMP0032,Finance & Comptabilité,2026,2,À améliorer,0
64,EMP0032,Finance & Comptabilité,2025,4,Bien,1
65,EMP0033,Direction Générale,2026,3,Satisfaisant,0
66,EMP0033,Direction Générale,2025,3,Satisfaisant,0
67,EMP0034,Ressources Humaines,2026,3,Satisfaisant,0
68,EMP0034,Ressources Humaines,2025,3,Satisfaisant,0
69,EMP0035,Logistique,2026,4,Bien,1
70,EMP0035,Logistique,2025,5,Excellent,1
71,EMP0036,IT & Systèmes,2026,4,Bien,1
72,EMP0036,IT & Systèmes,2025,3,Satisfaisant,0
73,EMP0037,Ressources Humaines,2026,2,À améliorer,0
74,EMP0037,Ressources Humaines,2025,2,À améliorer,0
