payroll_id,employee_id,departement,poste,mois,salaire_base,salaire_verse,prime
1,EMP0001,Juridique & Conformité,Ingénieur,2026-05,13238,14432,1194
2,EMP0001,Juridique & Conformité,Ingénieur,2026-04,13238,13024,-214
3,EMP0001,Juridique & Conformité,Ingénieur,2026-03,13238,14458,1220
4,EMP0001,Juridique & Conformité,Ingénieur,2026-01,13238,13606,368
5,EMP0001,Juridique & Conformité,Ingénieur,2026-01,13238,13140,-98
6,EMP0001,Juridique & Conformité,Ingénieur,2025-12,13238,12733,-505
7,EMP0001,Juridique & Conformité,Ingénieur,2025-11,13238,12966,-272
8,EMP0001,Juridique & Conformité,Ingénieur,2025-10,13238,14475,1237
9,EMP0001,Juridique & Conformité,Ingénieur,2025-09,13238,13121,-117
10,EMP0001,Juridique & Conformité,Ingénieur,2025-08,13238,13817,579
11,EMP0001,Juridique & Conformité,Ingénieur,2025-07,13238,13796,558
12,EMP0001,Juridique & Conformité,Ingénieur,2025-06,13238,12762,-476
13,EMP0001,Juridique & Conformité,Ingénieur,2025-05,13238,13849,611
14,EMP0001,Juridique & Conformité,Ingénieur,2025-04,13238,13751,513
15,EMP0001,Juridique & Conformité,Ingénieur,2025-03,13238,13729,491
16,EMP0001,Juridique & Conformité,Ingénieur,2025-02,13238,12916,-322
17,EMP0001,Juridique & Conformité,Ingénieur,2025-01,13238,13816,578
18,EMP0001,Juridique & Conformité,Ingénieur,2024-12,13238,14367,1129
19,EMP0001,Juridique & Conformité,Ingénieur,2024-11,13238,13247,9
20,EMP0001,Juridique & Conformité,Ingénieur,2024-10,13238,14411,1173
21,EMP0001,Juridique & Conformité,Ingénieur,2024-09,13238,12658,-580
22,EMP0001,Juridique & Conformité,Ingénieur,2024-08,13238,14291,1053
23,EMP0001,Juridique & Conformité,Ingénieur,2024-07,13238,12737,-501
24,EMP0001,Juridique & Conformité,Ingénieur,2024-06,13238,14460,1222
25,EMP0002,Juridique & Conformité,Manager,2026-05,13824,14732,908
26,EMP0002,Juridique & Conformité,Manager,2026-04,13824,13682,-142
27,EMP0002,Juridique & Conformité,Manager,2026-03,13824,13570,-254
28,EMP0002,Juridique & Conformité,Manager,2026-01,13824,14319,495
29,EMP0002,Juridique & Conformité,Manager,2026-01,13824,14415,591
30,EMP0002,Juridique & Conformité,Manager,2025-12,13824,13196,-628
31,EMP0002,Juridique & Conformité,Manager,2025-11,13824,14976,1152
32,EMP0002,Juridique & Conformité,Manager,2025-10,13824,14264,440
33,EMP0002,Juridique & Conformité,Manager,2025-09,13824,14464,640
34,EMP0002,Juridique & Conformité,Manager,2025-08,13824,13759,-65
35,EMP0002,Juridique & Conformité,Manager,2025-07,13824,13641,-183
36,EMP0002,Juridique & Conformité,Manager,2025-06,13824,14807,983
37,EMP0002,Juridique & Conformité,Manager,2025-05,13824,13975,151
38,EMP0002,Juridique & Conformité,Manager,2025-04,13824,14073,249
39,EMP0002,Juridique & Conformité,Manager,2025-03,13824,14561,737
40,EMP0002,Juridique & Conformité,Manager,2025-02,13824,13461,-363
41,EMP0002,Juridique & Conformité,Manager,2025-01,13824,13995,171
42,EMP0002,Juridique & Conformité,Manager,2024-12,13824,14096,272
43,EMP0002,Juridique & Conformité,Manager,2024-11,13824,13838,14
44,EMP0002,Juridique & Conformité,Manager,2024-10,13824,13431,-393
45,EMP0002,Juridique & Conformité,Manager,2024-09,13824,14919,1095
46,EMP0002,Juridique & Conformité,Manager,2024-08,13824,13795,-29
47,EMP0002,Juridique & Conformité,Manager,2024-07,13824,15182,1358
48,EMP0002,Juridique & Conformité,Manager,2024-06,13824,13849,25
49,EMP0003,Juridique & Conformité,Analyste,2026-05,7204,7275,71
50,EMP0003,Juridique & Conformité,Analyste,2026-04,7204,7666,462
51,EMP0003,Juridique & Conformité,Analyste,2026-03,7204,7400,196
52,EMP0003,Juridique & Conformité,Analyste,2026-01,7204,6959,-245
53,EMP0003,Juridique & Conformité,Analyste,2026-01,7204,7105,-99
54,EMP0003,Juridique & Conformité,Analyste,2025-12,7204,6976,-228
55,EMP0003,Juridique & Conformité,Analyste,2025-11,7204,7330,126
56,EMP0003,Juridique & Conformité,Analyste,2025-10,7204,6996,-208
57,EMP0003,Juridique & Conformité,Analyste,2025-09,7204,6898,-306
58,EMP0003,Juridique & Conformité,Analyste,2025-08,7204,7865,661
59,EMP0003,Juridique & Conformité,Analyste,2025-07,7204,7778,574
60,EMP0003,Juridique & Conformité,Analyste,2025-06,7204,7296,92
61,EMP0003,Juridique & Conformité,Analyste,2025-05,7204,7884,680
62,EMP0003,Juridique & Conformité,Analyste,2025-04,7204,7819,615
